QuestionId,ranking
0,355
1,624
2,228
3,841
4,273
5,7
6,551
7,161
8,247
9,181
10,274
11,391
12,266
13,853
14,797
15,485
16,654
17,330
18,113
19,746
20,744
21,288
22,720
23,373
24,722
25,836
26,550
27,376
28,460
29,715
30,506
31,806
32,229
33,32
34,464
35,526
36,283
37,700
38,478
39,386
40,164
41,142
42,179
43,948
44,121
45,322
46,42
47,678
48,221
49,379
50,667
51,553
52,290
53,423
54,314
55,342
56,527
57,225
58,311
59,835
60,280
61,16
62,372
63,105
64,915
65,801
66,535
67,189
68,64
69,542
70,84
71,264
72,567
73,666
74,452
75,672
76,498
77,146
78,815
79,144
80,865
81,501
82,732
83,565
84,234
85,340
86,931
87,67
88,540
89,867
90,638
91,416
92,510
93,15
94,37
95,224
96,257
97,651
98,410
99,406
100,790
101,346
102,366
103,641
104,12
105,603
106,582
107,200
108,135
109,375
110,53
111,822
112,156
113,383
114,441
115,312
116,564
117,85
118,534
119,380
120,185
121,173
122,777
123,356
124,220
125,585
126,36
127,335
128,60
129,437
130,160
131,398
132,240
133,781
134,758
135,368
136,186
137,729
138,874
139,134
140,282
141,381
142,52
143,878
144,444
145,434
146,14
147,677
148,215
149,124
150,611
151,469
152,162
153,944
154,882
155,3
156,445
157,857
158,272
159,191
160,694
161,131
162,242
163,934
164,880
165,606
166,157
167,307
168,859
169,41
170,734
171,511
172,90
173,171
174,213
175,87
176,640
177,438
178,753
179,61
180,30
181,115
182,40
183,399
184,721
185,809
186,202
187,467
188,262
189,175
190,768
191,154
192,56
193,575
194,393
195,943
196,618
197,159
198,456
199,904
200,756
201,271
202,897
203,419
204,328
205,378
206,170
207,583
208,20
209,886
210,207
211,837
212,194
213,682
214,327
215,237
216,647
217,275
218,65
219,390
220,468
221,594
222,687
223,48
224,446
225,153
226,223
227,810
228,250
229,188
230,86
231,920
232,508
233,461
234,309
235,317
236,629
237,125
238,608
239,604
240,178
241,72
242,204
243,775
244,102
245,13
246,104
247,590
248,935
249,650
250,861
251,10
252,848
253,397
254,719
255,562
256,798
257,928
258,101
259,658
260,824
261,404
262,210
263,350
264,613
265,351
266,345
267,352
268,117
269,145
270,389
271,239
272,921
273,75
274,633
275,336
276,44
277,507
278,577
279,241
280,251
281,833
282,55
283,601
284,764
285,770
286,138
287,793
288,474
289,447
290,774
291,187
292,615
293,614
294,492
295,870
296,292
297,415
298,558
299,481
300,500
301,63
302,279
303,73
304,610
305,890
306,812
307,47
308,51
309,718
310,192
311,509
312,752
313,359
314,769
315,896
316,91
317,675
318,517
319,524
320,937
321,939
322,172
323,819
324,152
325,302
326,367
327,294
328,646
329,57
330,653
331,587
332,695
333,566
334,259
335,343
336,333
337,713
338,45
339,46
340,563
341,400
342,249
343,747
344,791
345,482
346,602
347,818
348,711
349,930
350,795
351,83
352,106
353,396
354,348
355,432
356,180
357,623
358,148
359,479
360,691
361,287
362,256
363,879
364,244
365,112
366,909
367,664
368,625
369,724
370,598
371,258
372,717
373,596
374,690
375,600
376,788
377,571
378,277
379,252
380,296
381,807
382,66
383,852
384,260
385,231
386,513
387,133
388,169
389,576
390,208
391,354
392,580
393,573
394,900
395,165
396,831
397,300
398,473
399,285
400,226
401,707
402,403
403,772
404,371
405,866
406,889
407,408
408,843
409,617
410,854
411,660
412,532
413,765
414,816
415,315
416,261
417,466
418,25
419,167
420,923
421,941
422,696
423,183
424,193
425,4
426,70
427,622
428,137
429,914
430,108
431,821
432,751
433,477
434,214
435,584
436,912
437,158
438,743
439,39
440,805
441,916
442,33
443,374
444,599
445,324
446,402
447,548
448,431
449,546
450,407
451,893
452,887
453,472
454,337
455,88
456,227
457,919
458,830
459,869
460,829
461,827
462,936
463,499
464,856
465,671
466,733
467,236
468,902
469,766
470,132
471,205
472,917
473,851
474,357
475,539
476,323
477,495
478,686
479,349
480,942
481,38
482,741
483,211
484,429
485,817
486,218
487,246
488,888
489,421
490,839
491,316
492,673
493,114
494,422
495,79
496,436
497,642
498,255
499,484
500,8
501,872
502,523
503,847
504,203
505,663
506,681
507,761
508,913
509,644
510,579
511,813
512,457
513,536
514,597
515,362
516,512
517,727
518,360
519,723
520,591
521,570
522,628
523,116
524,281
525,520
526,435
527,885
528,27
529,907
530,643
531,149
532,442
533,863
534,301
535,308
536,298
537,94
538,82
539,783
540,538
541,22
542,199
543,99
544,556
545,303
546,731
547,531
548,270
549,515
550,305
551,649
552,401
553,932
554,428
555,363
556,166
557,505
558,413
559,184
560,92
561,754
562,384
563,545
564,706
565,370
566,800
567,881
568,873
569,409
570,683
571,620
572,263
573,329
574,659
575,19
576,557
577,846
578,639
579,858
580,26
581,910
582,670
583,411
584,627
585,740
586,23
587,347
588,98
589,222
590,504
591,648
592,661
593,630
594,749
595,388
596,592
597,494
598,11
599,54
600,427
601,763
602,385
603,31
604,405
605,49
606,483
607,657
608,947
609,377
610,726
611,78
612,911
613,127
614,735
615,645
616,849
617,418
618,122
619,111
620,313
621,607
622,762
623,141
624,176
625,703
626,555
627,331
628,147
629,895
630,884
631,430
632,238
633,433
634,803
635,688
636,938
637,823
638,454
639,714
640,233
641,109
642,530
643,828
644,745
645,802
646,799
647,126
648,424
649,449
650,578
651,656
652,871
653,736
654,825
655,655
656,811
657,789
658,471
659,780
660,486
661,21
662,426
663,69
664,365
665,581
666,612
667,254
668,894
669,382
670,150
671,306
672,840
673,901
674,209
675,462
676,634
677,299
678,353
679,755
680,182
681,448
682,786
683,908
684,93
685,692
686,589
687,668
688,940
689,699
690,855
691,778
692,537
693,321
694,129
695,626
696,569
697,689
698,76
699,103
700,926
701,297
702,120
703,136
704,637
705,502
706,605
707,702
708,140
709,81
710,922
711,89
712,568
713,808
714,697
715,586
716,560
717,652
718,5
719,206
720,325
721,698
722,489
723,737
724,420
725,243
726,58
727,933
728,636
729,29
730,945
731,918
732,334
733,773
734,59
735,631
736,497
737,516
738,669
739,739
740,522
741,877
742,864
743,43
744,595
745,265
746,248
747,674
748,291
749,339
750,549
751,903
752,17
753,892
754,480
755,364
756,701
757,34
758,748
759,195
760,794
761,278
762,68
763,552
764,771
765,490
766,284
767,533
768,693
769,198
770,496
771,96
772,924
773,529
774,155
775,119
776,465
777,77
778,796
779,757
780,253
781,676
782,679
783,326
784,6
785,439
786,862
787,709
788,787
789,190
790,588
791,767
792,71
793,130
794,458
795,518
796,561
797,143
798,845
799,289
800,177
801,163
802,891
803,860
804,834
805,632
806,425
807,946
808,476
809,844
810,493
811,898
812,543
813,883
814,826
815,906
816,528
817,593
818,9
819,554
820,212
821,268
822,118
823,759
824,97
825,712
826,320
827,286
828,730
829,725
830,519
831,776
832,491
833,319
834,440
835,850
836,525
837,728
838,369
839,332
840,503
841,488
842,139
843,62
844,574
845,832
846,35
847,487
848,750
849,196
850,455
851,128
852,450
853,685
854,267
855,925
856,50
857,18
858,417
859,514
860,414
861,459
862,394
863,842
864,541
865,80
866,742
867,905
868,361
869,230
870,341
871,609
872,619
873,201
874,295
875,123
876,216
877,521
878,100
879,28
880,470
881,814
882,151
883,95
884,662
885,572
886,110
887,412
888,197
889,760
890,443
891,276
892,344
893,318
894,927
895,304
896,838
897,358
898,544
899,899
900,876
901,621
902,338
903,232
904,107
905,269
906,219
907,779
908,820
909,559
910,684
911,804
912,710
913,168
914,784
915,245
916,453
917,387
918,235
919,293
920,680
921,738
922,868
923,782
924,635
925,24
926,704
927,708
928,792
929,217
930,665
931,2
932,174
933,929
934,475
935,451
936,74
937,463
938,875
939,705
940,547
941,785
942,392
943,616
944,1
945,310
946,395
947,716
