QuestionId,ranking
0,169
1,905
2,173
3,810
4,23
5,541
6,572
7,35
8,257
9,496
10,33
11,108
12,517
13,742
14,506
15,906
16,778
17,379
18,113
19,627
20,728
21,457
22,304
23,192
24,533
25,651
26,319
27,308
28,584
29,595
30,201
31,790
32,886
33,907
34,589
35,696
36,62
37,580
38,209
39,272
40,102
41,290
42,141
43,850
44,459
45,245
46,163
47,609
48,139
49,14
50,420
51,98
52,753
53,103
54,87
55,128
56,640
57,795
58,184
59,864
60,581
61,1
62,67
63,398
64,825
65,757
66,338
67,146
68,137
69,557
70,63
71,91
72,254
73,652
74,559
75,433
76,388
77,43
78,556
79,359
80,509
81,505
82,236
83,637
84,251
85,11
86,860
87,741
88,421
89,792
90,579
91,135
92,38
93,65
94,223
95,274
96,370
97,418
98,838
99,361
100,612
101,291
102,634
103,701
104,548
105,460
106,336
107,443
108,908
109,511
110,115
111,626
112,522
113,909
114,521
115,882
116,726
117,910
118,437
119,419
120,260
121,77
122,764
123,472
124,210
125,648
126,675
127,688
128,855
129,341
130,213
131,512
132,407
133,745
134,666
135,667
136,160
137,620
138,646
139,911
140,491
141,551
142,96
143,507
144,411
145,436
146,282
147,477
148,119
149,889
150,124
151,413
152,167
153,912
154,699
155,613
156,417
157,777
158,474
159,48
160,427
161,441
162,89
163,781
164,773
165,262
166,12
167,49
168,847
169,355
170,518
171,412
172,293
173,264
174,15
175,913
176,844
177,253
178,842
179,183
180,885
181,5
182,645
183,127
184,671
185,692
186,180
187,324
188,170
189,39
190,736
191,680
192,450
193,326
194,473
195,700
196,278
197,45
198,546
199,866
200,683
201,331
202,793
203,658
204,465
205,125
206,217
207,525
208,267
209,706
210,138
211,794
212,34
213,483
214,554
215,198
216,641
217,99
218,179
219,380
220,743
221,391
222,761
223,832
224,42
225,702
226,4
227,775
228,242
229,553
230,175
231,779
232,118
233,130
234,575
235,248
236,762
237,53
238,520
239,914
240,632
241,164
242,302
243,574
244,915
245,588
246,724
247,843
248,670
249,538
250,486
251,321
252,735
253,672
254,888
255,315
256,690
257,618
258,289
259,635
260,737
261,112
262,376
263,172
264,292
265,157
266,738
267,409
268,133
269,808
270,806
271,82
272,803
273,378
274,606
275,599
276,44
277,332
278,567
279,161
280,566
281,619
282,150
283,596
284,754
285,360
286,105
287,916
288,389
289,203
290,621
291,381
292,52
293,716
294,917
295,774
296,611
297,145
298,508
299,918
300,689
301,273
302,406
303,100
304,408
305,836
306,853
307,30
308,390
309,822
310,70
311,664
312,851
313,919
314,571
315,904
316,155
317,709
318,19
319,154
320,731
321,814
322,856
323,660
324,56
325,499
326,219
327,373
328,344
329,10
330,722
331,854
332,368
333,194
334,26
335,256
336,182
337,649
338,85
339,337
340,342
341,357
342,168
343,723
344,819
345,920
346,461
347,893
348,644
349,601
350,840
351,18
352,809
353,94
354,400
355,396
356,207
357,921
358,36
359,594
360,668
361,199
362,523
363,682
364,347
365,568
366,878
367,624
368,747
369,438
370,162
371,97
372,365
373,151
374,786
375,873
376,591
377,515
378,399
379,271
380,327
381,827
382,255
383,881
384,325
385,109
386,565
387,122
388,90
389,212
390,106
391,492
392,310
393,922
394,769
395,748
396,867
397,923
398,669
399,343
400,890
401,590
402,333
403,558
404,313
405,739
406,788
407,872
408,880
409,536
410,516
411,214
412,371
413,442
414,876
415,134
416,131
417,570
418,153
419,220
420,805
421,751
422,899
423,95
424,494
425,456
426,857
427,924
428,925
429,458
430,350
431,707
432,765
433,193
434,29
435,204
436,542
437,8
438,470
439,639
440,883
441,863
442,280
443,504
444,784
445,298
446,631
447,744
448,275
449,479
450,328
451,756
452,686
453,339
454,374
455,79
456,205
457,532
458,783
459,868
460,607
461,478
462,835
463,654
464,462
465,676
466,605
467,312
468,826
469,678
470,247
471,78
472,534
473,759
474,587
475,395
476,615
477,926
478,524
479,252
480,727
481,446
482,633
483,7
484,185
485,286
486,93
487,216
488,691
489,402
490,870
491,156
492,489
493,132
494,266
495,239
496,263
497,614
498,196
499,927
500,46
501,717
502,303
503,129
504,448
505,655
506,174
507,823
508,845
509,76
510,226
511,887
512,892
513,415
514,684
515,233
516,772
517,746
518,928
519,550
520,431
521,453
522,104
523,281
524,126
525,527
526,354
527,763
528,385
529,711
530,487
531,191
532,383
533,340
534,358
535,187
536,307
537,583
538,258
539,841
540,815
541,147
542,165
543,225
544,760
545,514
546,299
547,545
548,903
549,322
550,603
551,285
552,364
553,833
554,414
555,83
556,287
557,695
558,552
559,69
560,21
561,540
562,901
563,464
564,428
565,386
566,824
567,797
568,715
569,782
570,625
571,502
572,375
573,206
574,475
575,31
576,429
577,740
578,714
579,576
580,335
581,816
582,330
583,40
584,345
585,488
586,269
587,41
588,246
589,144
590,152
591,424
592,410
593,452
594,6
595,142
596,72
597,929
598,454
599,500
600,123
601,316
602,362
603,930
604,110
605,9
606,931
607,296
608,932
609,440
610,403
611,186
612,661
613,74
614,592
615,66
616,780
617,178
618,57
619,329
620,116
621,877
622,563
623,200
624,61
625,834
626,25
627,86
628,81
629,703
630,933
631,498
632,405
633,484
634,796
635,704
636,798
637,497
638,528
639,608
640,143
641,227
642,387
643,811
644,604
645,720
646,578
647,59
648,20
649,879
650,713
651,733
652,725
653,300
654,767
655,346
656,708
657,547
658,268
659,530
660,934
661,471
662,176
663,234
664,369
665,858
666,598
667,114
668,656
669,602
670,50
671,351
672,875
673,698
674,120
675,425
676,372
677,526
678,569
679,865
680,935
681,111
682,513
683,787
684,647
685,501
686,693
687,586
688,837
689,752
690,766
691,366
692,820
693,884
694,177
695,679
696,401
697,657
698,3
699,295
700,801
701,279
702,28
703,673
704,434
705,804
706,166
707,535
708,444
709,218
710,677
711,80
712,467
713,799
714,710
715,936
716,222
717,623
718,190
719,577
720,812
721,734
722,937
723,653
724,831
725,149
